Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"waitForElementVisible(findTestObject(""FLIGHTS/FligthFinder/Preferences/button_continue""), 3)",Chrome 78.0.3904.87,,,2019-11-11 17:29:56,2019-11-11 17:29:56,0.646s,PASSED
,,,,,,,
Test Cases/FLIGHTS/BulkReservations/bulk_flight_reservation,Chrome 78.0.3904.87,,,2019-11-11 17:29:56,2019-11-11 17:30:23,26.430s,PASSED
"callTestCase(findTestCase(""FLIGHTS/FlightFinder/search_flight""), [""type"":type, ""depFrom"":depForm, ""servClass"":servClass, ""noPass"":noPass], STOP_ON_FAILURE)",Chrome 78.0.3904.87,,,2019-11-11 17:29:56,2019-11-11 17:30:07,10.710s,PASSED
"callTestCase(findTestCase(""FLIGHTS/SelectFlight/reserve_flight""), [:], STOP_ON_FAILURE)",Chrome 78.0.3904.87,,,2019-11-11 17:30:07,2019-11-11 17:30:12,4.502s,PASSED
"callTestCase(findTestCase(""FLIGHTS/BookFlight/purchase_flight""), [""totalPassengers"":Integer.parseInt(noPass)], STOP_ON_FAILURE)",Chrome 78.0.3904.87,,,2019-11-11 17:30:12,2019-11-11 17:30:20,7.873s,PASSED
"callTestCase(findTestCase(""FLIGHTS/BookFlight/validation_purchase""), [:], STOP_ON_FAILURE)",Chrome 78.0.3904.87,,,2019-11-11 17:30:20,2019-11-11 17:30:21,1.432s,PASSED
"click(findTestObject(""FLIGHTS/PurchaseMessage/button_backtoflight""))",Chrome 78.0.3904.87,,,2019-11-11 17:30:21,2019-11-11 17:30:22,1.115s,PASSED
"waitForElementVisible(findTestObject(""FLIGHTS/FligthFinder/Preferences/button_continue""), 3)",Chrome 78.0.3904.87,,,2019-11-11 17:30:22,2019-11-11 17:30:23,0.646s,PASSED
,,,,,,,
Test Cases/FLIGHTS/BulkReservations/bulk_flight_reservation,Chrome 78.0.3904.87,,,2019-11-11 17:30:23,2019-11-11 17:30:47,24.655s,PASSED
"callTestCase(findTestCase(""FLIGHTS/FlightFinder/search_flight""), [""type"":type, ""depFrom"":depForm, ""servClass"":servClass, ""noPass"":noPass], STOP_ON_FAILURE)",Chrome 78.0.3904.87,,,2019-11-11 17:30:23,2019-11-11 17:30:34,10.769s,PASSED
"callTestCase(findTestCase(""FLIGHTS/SelectFlight/reserve_flight""), [:], STOP_ON_FAILURE)",Chrome 78.0.3904.87,,,2019-11-11 17:30:34,2019-11-11 17:30:38,4.459s,PASSED
"callTestCase(findTestCase(""FLIGHTS/BookFlight/purchase_flight""), [""totalPassengers"":Integer.parseInt(noPass)], STOP_ON_FAILURE)",Chrome 78.0.3904.87,,,2019-11-11 17:30:38,2019-11-11 17:30:44,6.021s,PASSED
"callTestCase(findTestCase(""FLIGHTS/BookFlight/validation_purchase""), [:], STOP_ON_FAILURE)",Chrome 78.0.3904.87,,,2019-11-11 17:30:44,2019-11-11 17:30:45,1.323s,PASSED
"click(findTestObject(""FLIGHTS/PurchaseMessage/button_backtoflight""))",Chrome 78.0.3904.87,,,2019-11-11 17:30:45,2019-11-11 17:30:47,1.243s,PASSED
"waitForElementVisible(findTestObject(""FLIGHTS/FligthFinder/Preferences/button_continue""), 3)",Chrome 78.0.3904.87,,,2019-11-11 17:30:47,2019-11-11 17:30:47,0.708s,PASSED
,,,,,,,
Test Cases/FLIGHTS/BulkReservations/bulk_flight_reservation,Chrome 78.0.3904.87,,,2019-11-11 17:30:48,2019-11-11 17:31:10,22.494s,PASSED
